name_original,species,accepted_name
Eriotheca_roseorum,Eriotheca roseorum,Eriotheca roseorum (Cuatrec.) A. Robyns
Eriotheca_ruizii,Eriotheca ruizii,Eriotheca ruizii (K. Schum.) A. Robyns
Eriotheca_saxicola,Eriotheca saxicola,Eriotheca saxicola Carv.-Sobr.
Eriotheca_sclerophylla,Eriotheca sclerophylla,Eriotheca sclerophylla (Ducke) M.C. Duarte & G.L. Esteves
Eriotheca_sp_nov_JS3125,Eriotheca sp nov JS3125,Eriotheca_sp_nov_JS3125
Eriotheca_squamigera,Eriotheca squamigera,Eriotheca squamigera (Cuatrec.) Fern. Alonso
Eriotheca_surinamensis,Eriotheca surinamensis,Eriotheca surinamensis (Uittien) A. Robyns
Eriotheca_vargasii,Eriotheca vargasii,Eriotheca vargasii (Cuatrec.) A. Robyns
Gyranthera_amphibiolepis,Gyranthera amphibiolepis,Gyranthera amphibiolepis W. Palacios
Gyranthera_caribensis,Gyranthera caribensis,Gyranthera caribensis Pittier
Gyranthera_darienensis,Gyranthera darienensis,Gyranthera darienensis Pittier
Huberodendron_allenii,Huberodendron allenii,Huberodendron allenii Standl. & L.O. Williams
Huberodendron_patinoi,Huberodendron patinoi,Huberodendron patinoi Cuatrec.
Huberodendron_swietenioides,Huberodendron swietenioides,Huberodendron swietenioides (Gleason) Ducke
Neobuchia_paulinae,Neobuchia paulinae,Neobuchia paulinae Urb.
Pachira_amazonica,Pachira amazonica,Pachira amazonica (A. Robyns) W.S. Alverson
Pachira_aquatica,Pachira aquatica,Pachira aquatica Aubl.
Pachira_aracamuniana,Pachira aracamuniana,Pachira aracamuniana (Steyerm.) W.S. Alverson
Pachira_brevipes,Pachira brevipes,Pachira brevipes (A. Robyns) W.S. Alverson
Pachira_calophylla,Pachira calophylla,Pachira calophylla (K. Schum.) Fern. Alonso
Pachira_coriacea,Pachira coriacea,Pachira coriacea (Mart.) W.S. Alverson
Pachira_cubensis,Pachira cubensis,Pachira cubensis (A. Robyns) Fern. Alonso
Pachira_dolichocalyx,Pachira dolichocalyx,Pachira dolichocalyx A. Robyns
Pachira_duckei,Pachira duckei,Pachira duckei (A. Robyns) Fern. Alonso
Pachira_dugandeana,Pachira dugandeana,Pachira dugandeana (A. Robyns) Fern. Alonso
Pachira_endecaphylla,Pachira endecaphylla,Pachira endecaphylla (Vell.) Carv.-Sobr.
Pachira_faroensis,Pachira faroensis,Pachira faroensis (Ducke) W.S. Alverson
Pachira_flaviflora,Pachira flaviflora,Pachira flaviflora (Pulle) Fern. Alonso
Pachira_fuscolepidota,Pachira fuscolepidota,Pachira fuscolepidota (Steyerm.) W.S. Alverson
Pachira_glabra,Pachira glabra,Pachira glabra Pasq.
Pachira_gracilis,Pachira gracilis,Pachira gracilis (A. Robyns) W.S. Alverson
Pachira_humilis,Pachira humilis,Pachira humilis Spruce ex Decne.
Pachira_insignis,Pachira insignis,Pachira insignis (Sw.) Sw. ex Savigny
Pachira_liesneri,Pachira liesneri,Pachira liesneri (Steyerm.) W.S. Alverson
Pachira_macrocalyx,Pachira macrocalyx,Pachira macrocalyx (Ducke) Fern. Alonso
Pachira_mawarinumae,Pachira mawarinumae,Pachira mawarinumae (Steyerm.) W.S. Alverson
Pachira_minor,Pachira minor,Pachira minor (Sims) Hemsl.
Pachira_moreirae,Pachira moreirae,Pachira moreirae Carv.-Sobr. & W.S. Alverson
Pachira_morae,Pachira morae,Pachira morae Fern. Alonso
Pachira_mutisiana,Pachira mutisiana,Pachira mutisiana Fern. Alonso
Pachira_nitida,Pachira nitida,Pachira nitida Kunth
Pachira_nukakica,Pachira nukakica,Pachira nukakica Fern. Alonso
Pachira_obovata,Pachira obovata,Pachira obovata (A. Robyns) W.S. Alverson
Pachira_paraensis,Pachira paraensis,Pachira paraensis (Ducke) W.S. Alverson
Pachira_patinoi,Pachira patinoi,Pachira patinoi (Dugand & Robyns) Fern. Alonso
Pachira_pseudofaroensis,Pachira pseudofaroensis,Pachira pseudofaroensis (A. Robyns) W.S. Alverson
Pachira_pulchra,Pachira pulchra,Pachira pulchra Planch. & Linden ex Triana & Planch.
Pachira_punga-schunkei,Pachira punga-schunkei,Pachira punga-schunkei Fern. Alonso
Pochota_fendleri,Pochota fendleri,Pochota fendleri (Seem.) W.S. Alverson & M.C. Duarte
Pachira_retusa,Pachira retusa,Pachira retusa (Mart.) Fern. Alonso
Pachira_robynsii,Pachira robynsii,Pachira robynsii (Steyerm. & W.D. Stevens) W.S. Alverson
Pachira_rurrenabaqueana,Pachira rurrenabaqueana,Pachira rurrenabaqueana (Rusby) Fern. Alonso
Pachira_sessilis,Pachira sessilis,Pachira sessilis Benth.
Pachira_nervosa,Pachira nervosa,Pachira nervosa (Uittien) Fern. Alonso
Pachira_sp_nov_JS3176,Pachira sp nov JS3176,Pachira_sp_nov_JS3176
Pachira_subandina,Pachira subandina,Pachira subandina (Dugand) Fern. Alonso
Pachira_tepuiensis,Pachira tepuiensis,Pachira tepuiensis (Steyerm.) W.S. Alverson
Pachira_tocantina,Pachira tocantina,Pachira tocantina (Ducke) Fern. Alonso
Pachira_trinitensis,Pachira trinitensis,Pachira trinitensis Urb.
Pachira_yapacanae,Pachira yapacanae,Pachira yapacanae Steyerm. ex W.S. Alverson
Pseudobombax_sp_nov_JS3080,Pseudobombax sp nov JS3080,Pseudobombax_sp_nov_JS3080
Pseudobombax_andicola,Pseudobombax andicola,Pseudobombax andicola A. Robyns
Pseudobombax_argentinum,Pseudobombax argentinum,Pseudobombax argentinum (R.E. Fr.) A. Robyns
Pseudobombax_cajamarcanus,Pseudobombax cajamarcanus,Pseudobombax cajamarcanus Fern. Alonso
Pseudobombax_calcicola,Pseudobombax calcicola,Pseudobombax calcicola Carv.-Sobr. & L.P. Queiroz
Pseudobombax_campestre,Pseudobombax campestre,Pseudobombax campestre (Mart.) A. Robyns
Pseudobombax_croizatii,Pseudobombax croizatii,Pseudobombax croizatii A. Robyns
Pseudobombax_ellipticoideum,Pseudobombax ellipticoideum,Pseudobombax ellipticoideum A. Robyns
Pseudobombax_ellipticum,Pseudobombax ellipticum,Pseudobombax ellipticum (Kunth) Dugand
Pseudobombax_grandiflorum,Pseudobombax grandiflorum,Pseudobombax grandiflorum (Cav.) A. Robyns
Pseudobombax_guayasense,Pseudobombax guayasense,Pseudobombax guayasense A. Robyns
Pseudobombax_longiflorum,Pseudobombax longiflorum,Pseudobombax longiflorum (Mart.) A. Robyns
Pseudobombax_majus,Pseudobombax majus,Pseudobombax majus (A. Robyns) Carv.-Sobr.
Pseudobombax_marginatum,Pseudobombax marginatum,"Pseudobombax marginatum (A. St.-Hil., Juss. & Cambess.) A. Robyns"
Pseudobombax_maximum,Pseudobombax maximum,Pseudobombax maximum A. Robyns
Pseudobombax_millei,Pseudobombax millei,Pseudobombax millei (Standl.) A. Robyns
Pseudobombax_minimum,Pseudobombax minimum,Pseudobombax minimum Carv.-Sobr. & L.P. Queiroz
Pseudobombax_munguba,Pseudobombax munguba,Pseudobombax munguba (Mart.) Dugand
Pseudobombax_palmeri,Pseudobombax palmeri,Pseudobombax palmeri (S. Watson) Dugand
Pseudobombax_parvifolium,Pseudobombax parvifolium,Pseudobombax parvifolium Carv.-Sobr. & L.P. Queiroz
Pseudobombax_petropolitanum,Pseudobombax petropolitanum,Pseudobombax petropolitanum A. Robyns
Pseudobombax_pulchellum,Pseudobombax pulchellum,Pseudobombax pulchellum Carv.-Sobr.
Pseudobombax_septenatum,Pseudobombax septenatum,Pseudobombax septenatum (Jacq.) Dugand
Pseudobombax_simplicifolium,Pseudobombax simplicifolium,Pseudobombax simplicifolium A. Robyns
Pseudobombax_tomentosum,Pseudobombax tomentosum,Pseudobombax tomentosum (Mart.) A. Robyns
Rhodognaphalon_brevicuspe,Rhodognaphalon brevicuspe,Rhodognaphalon brevicuspe (Sprague) Roberty
Rhodognaphalon_lukayense,Rhodognaphalon lukayense,Rhodognaphalon lukayense (De Wild. & T. Durand) A. Robyns
Rhodognaphalon_schumannianum,Rhodognaphalon schumannianum,Rhodognaphalon schumannianum A. Robyns
Scleronema_grandiflorum,Scleronema grandiflorum,Scleronema grandiflorum Huber
Scleronema_guianense,Scleronema guianense,Scleronema guianense Sandwith
Scleronema_micranthum,Scleronema micranthum,Scleronema micranthum (Ducke) Ducke
Scleronema_neblinense,Scleronema neblinense,Scleronema neblinense Steyerm.
Scleronema_praecox,Scleronema praecox,Scleronema praecox (Ducke) Ducke
Scleronema_spruceana,Scleronema spruceana,Scleronema spruceana Benth.
Spirotheca_awadendron,Spirotheca awadendron,Spirotheca awadendron Fern. Alonso
Spirotheca_elegans,Spirotheca elegans,"Spirotheca elegans Carv.-Sobr., M. Machado & L.P. Queiroz"
Spirotheca_mahechae,Spirotheca mahechae,Spirotheca mahechae Fern. Alonso
Spirotheca_michaeli,Spirotheca michaeli,Spirotheca michaeli Cuatrec.
Spirotheca_rivieri,Spirotheca rivieri,Spirotheca rivieri Ulbr.
Spirotheca_rosea,Spirotheca rosea,Spirotheca rosea (Seem.) P.E. Gibbs & W.S. Alverson
